ticker,market,split,config_key,retest_line,entry_delay,signal_date,entry_date,exit_date,entry_index,exit_index,entry_price,exit_price,stop_price,target_price,exit_reason,gross_return_pct,return_pct,r_multiple,win,open_gap_vs_confirm_close_pct,pullback_volume_ratio,rebound_volume_ratio,smma200_slope_pct20,atr_tolerance,average_turnover_20,market_regime,earnings_distance_bars
222800.KQ,KRX,train,L21|D5|ATR0.50|PV1.0|RVNone|SNone,21,5,2025-12-03,2025-12-10,2025-12-15,579,582,53691.859489,50697.887699,51196.882962,58681.812543,stop_gap,-5.576212,-5.776212,-1.24304,False,-5.944053,0.49261,1.222689,9.286267,0.5,56294018883.9783,BULL,-19.0
178320.KQ,KRX,train,L21|D5|ATR0.50|PV1.0|RVNone|SNone,21,5,2025-12-08,2025-12-15,2026-01-08,582,597,25800.0,24350.0,24350.0,28700.0,stop,-5.620155,-5.820155,-1.035586,False,-2.457467,0.721818,1.264377,0.569192,0.5,10235449142.5,BULL,-421.0
178320.KQ,KRX,test,L21|D5|ATR0.50|PV1.0|RVNone|SNone,21,5,2026-04-01,2026-04-08,2026-04-21,657,666,44700.0,53800.0,40150.0,53800.0,target,20.357942,20.157942,1.980352,True,-3.870968,0.316198,0.572079,7.83274,0.5,112473453760.0,BULL,-496.0
032830.KS,KRX,test,L21|D5|ATR0.50|PV1.0|RVNone|SNone,21,5,2026-03-26,2026-04-02,2026-04-15,653,662,228500.0,259500.0,213000.0,259500.0,target,13.56674,13.36674,1.970516,True,2.927928,0.59204,0.786606,7.313978,0.5,86229800675.0,BULL,-29.0
066570.KS,KRX,train,L21|D5|ATR0.50|PV1.0|RVNone|SNone,21,5,2026-01-02,2026-01-09,2026-01-09,598,598,91301.788019,89614.688598,89614.688598,94675.986862,stop,-1.847827,-2.047827,-1.108235,False,0.656461,0.517461,0.64582,1.049834,0.5,55726817782.9457,BULL,-37.0
066570.KS,KRX,test,L21|D5|ATR0.50|PV1.0|RVNone|SNone,21,5,2026-06-15,2026-06-22,2026-06-23,706,707,227000.0,207500.0,207500.0,266000.0,stop,-8.590308,-8.790308,-1.023282,False,-6.776181,0.661307,0.581434,15.638298,0.5,1117882924425.0,BULL,23.0
018260.KS,KRX,train,L21|D5|ATR0.50|PV1.0|RVNone|SNone,21,5,2025-09-30,2025-10-14,2025-10-29,538,549,163779.181146,175554.781785,157891.380827,175554.781785,target,7.189925,6.989925,1.944367,True,1.644334,0.716858,0.656184,1.246825,0.5,35520656475.2782,BULL,12.0
086280.KS,KRX,train,L21|D5|ATR0.50|PV1.0|RVNone|SNone,21,5,2025-12-23,2026-01-02,2026-01-07,593,596,176367.734375,189821.989993,169640.606566,189821.989993,target,7.628524,7.428524,1.947565,True,1.458216,0.654289,0.543736,3.270924,0.5,27133947097.7398,BULL,-32.0
034730.KS,KRX,train,L21|D5|ATR0.50|PV1.0|RVNone|SNone,21,5,2025-11-25,2025-12-02,2025-12-03,573,574,248422.200707,265081.699386,240092.451368,265081.699386,target,6.706123,6.506123,1.940353,True,1.807234,0.713425,0.586755,5.12354,0.5,71148411895.9805,BULL,-12.0
010130.KS,KRX,train,L21|D5|ATR0.50|PV1.0|RVNone|SNone,21,5,2025-11-20,2025-11-27,2025-11-28,570,571,1140774.631132,1329105.730312,1046609.081542,1329105.730312,target,16.509054,16.309054,1.975771,True,3.377785,0.393405,0.579574,3.707283,0.5,34781925271.2875,BULL,-169.0
010130.KS,KRX,train,L21|D5|ATR0.50|PV1.0|RVNone|SNone,21,5,2025-12-23,2026-01-02,2026-01-06,593,595,1321174.704545,1260443.012405,1260443.012405,1442638.088827,stop,-4.596795,-4.796795,-1.043509,False,-0.669998,0.706901,0.64366,6.677915,0.5,62374829169.6438,BULL,-192.0
010130.KS,KRX,train,L21|D5|ATR0.50|PV1.0|RVNone|SNone,21,5,2026-02-10,2026-02-20,2026-02-25,625,628,1667908.346212,1899064.212005,1552330.413315,1899064.212005,target,13.859027,13.659027,1.971138,True,-1.587303,0.346035,0.271523,8.728788,0.5,113734663308.9937,BULL,-224.0
017670.KS,KRX,train,L21|D5|ATR0.50|PV1.0|RVNone|SNone,21,5,2025-08-06,2025-08-13,2025-08-26,500,508,54900.375,53825.8125,53825.8125,57049.5,stop,-1.957295,-2.157295,-1.102182,False,-0.17762,0.739277,0.737803,0.750729,0.5,29967766570.5607,BULL,-5.0
017670.KS,KRX,test,L21|D5|ATR0.50|PV1.0|RVNone|SNone,21,5,2026-03-25,2026-04-01,2026-04-08,652,657,77851.04831,86974.997271,73289.073829,86974.997271,target,11.719751,11.519751,1.96587,True,-1.629067,0.501068,0.70379,3.99042,0.5,69357859999.0566,BULL,-24.0
352820.KS,KRX,train,L21|D5|ATR0.50|PV1.0|RVNone|SNone,21,5,2025-08-18,2025-08-25,2025-09-03,507,514,287592.654174,274611.021355,274611.021355,313555.919811,stop,-4.513896,-4.713896,-1.044308,False,2.673801,0.848737,0.56124,1.56072,0.5,75910911491.8859,BULL,-6.0
138040.KS,KRX,train,L21|D5|ATR0.50|PV1.0|RVNone|SNone,21,5,2025-09-10,2025-09-17,2025-09-18,524,525,123500.0,121700.0,121700.0,127100.0,stop,-1.45749,-1.65749,-1.137222,False,-3.364632,0.403185,0.917652,2.635517,0.5,32391725410.0,BULL,-23.0
047810.KS,KRX,train,L21|D5|ATR0.50|PV1.0|RVNone|SNone,21,5,2025-07-24,2025-07-31,2025-08-12,491,499,93231.6281,88245.979343,88245.979343,103202.925614,stop,-5.347594,-5.547594,-1.0374,False,0.971923,0.667377,0.608743,3.849997,0.5,70186554449.4246,BULL,10.0
047810.KS,KRX,train,L21|D5|ATR0.50|PV1.0|RVNone|SNone,21,5,2025-08-29,2025-09-05,2025-09-11,516,520,95425.315529,103402.348108,91436.79924,103402.348108,target,8.359451,8.159451,1.95215,True,0.525211,0.627896,0.826284,3.653872,0.5,42913808761.5594,BULL,-15.0
047810.KS,KRX,test,L21|D5|ATR0.50|PV1.0|RVNone|SNone,21,5,2026-04-08,2026-04-15,2026-04-23,662,668,193600.0,180000.0,180000.0,220800.0,stop,-7.024793,-7.224793,-1.028471,False,1.680672,0.754304,0.869542,8.389281,0.5,116826109928.1602,BULL,20.0
000720.KS,KRX,train,L21|D5|ATR0.50|PV1.0|RVNone|SNone,21,5,2025-12-22,2025-12-30,2026-01-05,592,594,69632.548368,73611.556308,67643.044398,73611.556308,target,5.714293,5.514293,1.93,True,-1.547116,0.541826,0.464487,4.464484,0.5,161094924661.1994,BULL,-31.0
010950.KS,KRX,train,L21|D5|ATR0.50|PV1.0|RVNone|SNone,21,5,2025-12-02,2025-12-09,2025-12-15,578,582,79552.728908,87328.557059,75664.814833,87328.557059,target,9.774433,9.574433,1.959077,True,-1.237627,0.676214,0.712682,3.001958,0.5,34534089353.2207,BULL,-17.0
010950.KS,KRX,train,L21|D5|ATR0.50|PV1.0|RVNone|SNone,21,5,2025-12-22,2025-12-30,2026-01-02,592,593,82144.671687,79453.041382,79453.041382,87527.932296,stop,-3.276695,-3.476695,-1.061037,False,-1.904768,0.964369,0.699416,2.55904,0.5,18110279137.7227,BULL,-31.0
010950.KS,KRX,test,L21|D5|ATR0.50|PV1.0|RVNone|SNone,21,5,2026-04-10,2026-04-17,2026-04-29,664,672,118000.0,134000.0,110000.0,134000.0,target,13.559322,13.359322,1.9705,True,-2.236951,0.89033,0.89043,4.829445,0.5,59621372284.5832,BULL,18.0
161390.KS,KRX,test,L21|D5|ATR0.50|PV1.0|RVNone|SNone,21,5,2026-06-10,2026-06-17,2026-06-24,703,708,70300.0,60300.0,60300.0,90300.0,stop,-14.224751,-14.424751,-1.01406,False,-0.424929,0.912039,1.091331,3.146484,0.5,37489645955.0,BULL,-21.0
021240.KS,KRX,train,L21|D5|ATR0.50|PV1.0|RVNone|SNone,21,5,2025-08-06,2025-08-13,2025-09-02,500,513,103786.071096,97414.089434,97414.089434,116530.03442,stop,-6.139535,-6.339535,-1.032576,False,-0.370719,0.505935,0.354664,5.187558,0.5,15956462222.9688,BULL,1.0
021240.KS,KRX,test,L21|D5|ATR0.50|PV1.0|RVNone|SNone,21,5,2026-05-22,2026-06-01,2026-06-08,692,696,90000.0,85242.845522,85242.845522,99514.308957,stop,-5.285727,-5.485727,-1.037838,False,-3.722046,0.74411,0.840286,1.324998,0.5,30609731522.9477,BULL,-10.0
307950.KS,KRX,train,L21|D5|ATR0.50|PV1.0|RVNone|SNone,21,5,2025-11-18,2025-11-25,2025-11-28,568,571,185784.567844,197128.672283,180112.515625,197128.672283,target,6.106053,5.906053,1.934491,True,3.035314,0.408366,0.339646,2.109597,0.5,48588339940.8898,BULL,-170.0
307950.KS,KRX,train,L21|D5|ATR0.50|PV1.0|RVNone|SNone,21,5,2026-02-10,2026-02-20,2026-03-04,625,632,437842.580645,380126.98643,380126.98643,553273.769075,stop,-13.181814,-13.381814,-1.015172,False,2.088165,0.371979,0.895529,14.866877,0.5,122600350303.7406,BULL,-227.0
036570.KS,KRX,test,L21|D5|ATR0.50|PV1.0|RVNone|SNone,21,5,2026-05-11,2026-05-18,2026-06-02,683,693,267500.0,304500.0,249000.0,304500.0,target,13.831776,13.631776,1.971081,True,6.573705,0.736585,0.497921,2.666942,0.5,41108541925.0,BULL,-1.0
128940.KS,KRX,train,L21|D5|ATR0.50|PV1.0|RVNone|SNone,21,5,2025-12-04,2025-12-11,2026-01-08,580,597,436404.372083,472273.194738,418469.960756,472273.194738,target,8.219171,8.019171,1.951333,True,1.860461,0.894026,0.662743,4.847056,0.5,44942577078.9172,BULL,149.0
271560.KS,KRX,test,L21|D5|ATR0.50|PV1.0|RVNone|SNone,21,5,2026-03-25,2026-04-01,2026-04-23,652,668,129905.024144,141853.681736,123930.695349,141853.681736,target,9.197995,8.997995,1.956512,True,0.834232,0.85575,0.61895,2.062024,0.5,16983045492.1398,BULL,-10.0
271560.KS,KRX,test,L21|D5|ATR0.50|PV1.0|RVNone|SNone,21,5,2026-05-11,2026-05-18,2026-05-18,683,683,140853.734031,133653.237835,133653.237835,155254.726423,stop,-5.112038,-5.312038,-1.039123,False,2.292255,0.917951,0.667284,2.708933,0.5,14232843226.225,BULL,-1.0
180640.KS,KRX,train,L21|D5|ATR0.50|PV1.0|RVNone|SNone,21,5,2025-12-22,2025-12-30,2026-01-16,592,603,118136.011183,134086.866266,110160.583642,134086.866266,target,13.502111,13.302111,1.970375,True,0.25381,0.770681,0.630681,1.980427,0.5,15788758098.6211,BULL,137.0
