ticker,market,date,dividend,split_ratio,raw_overnight_gap_pct,adjusted_overnight_gap_pct,absolute_gap_reduction_pct_point,raw_smma200_change_pct,adjusted_smma200_change_pct,smma200_jump_reduction_pct_point
LRCX,US,2025-03-05,0.23,0.0,0.4186,0.7217,-0.3031,-0.007848,-0.003415,0.004433
LRCX,US,2025-06-18,0.23,0.0,0.4209,0.6708,-0.2499,0.080708,0.085821,-0.005113
LRCX,US,2025-09-24,0.26,0.0,-1.4629,-1.2683,0.1946,0.243799,0.249573,-0.005773
LRCX,US,2025-12-03,0.26,0.0,-0.8218,-0.6585,0.1633,0.300179,0.305691,-0.005512
LRCX,US,2026-03-04,0.26,0.0,2.0435,2.1658,-0.1223,0.366928,0.371374,-0.004447
LRCX,US,2026-06-17,0.26,0.0,3.4277,3.5006,-0.0729,0.580812,0.584425,-0.003613
TT,US,2023-08-31,0.75,0.0,0.0097,0.3753,-0.3656,,,
TT,US,2023-11-30,0.75,0.0,-0.5839,-0.2479,0.336,,,
TT,US,2024-02-29,0.84,0.0,0.0,0.297,-0.297,,,
TT,US,2024-06-07,0.84,0.0,-0.0031,0.2613,-0.2582,0.135899,0.139684,-0.003785
TT,US,2024-09-06,0.84,0.0,0.8836,1.1313,-0.2477,0.12446,0.128489,-0.004029
TT,US,2024-12-06,0.84,0.0,0.1518,0.3549,-0.2031,0.171517,0.175684,-0.004167
TT,US,2025-03-07,0.94,0.0,-0.3248,-0.0499,0.2749,0.032398,0.036186,-0.003789
TT,US,2025-06-06,0.94,0.0,0.5385,0.7584,-0.2198,0.134432,0.138972,-0.004541
TT,US,2025-09-05,0.94,0.0,0.4284,0.6574,-0.229,0.069688,0.073768,-0.00408
TT,US,2026-03-06,1.05,0.0,-2.2894,-2.0537,0.2357,0.044061,0.047317,-0.003255
TT,US,2026-06-05,1.05,0.0,-1.3369,-1.113,0.2239,0.061829,0.06545,-0.00362
ADP,US,2023-09-07,1.25,0.0,-0.0956,0.4043,-0.3087,,,
ADP,US,2023-12-07,1.4,0.0,-0.3658,0.2381,0.1277,,,
ADP,US,2024-03-07,1.4,0.0,0.0,0.5777,-0.5777,,,
ADP,US,2024-06-14,1.4,0.0,-0.5281,0.0453,0.4828,0.000372,0.006864,-0.006492
ADP,US,2024-09-13,1.4,0.0,-0.5819,-0.0794,0.5025,0.063369,0.071497,-0.008128
ADP,US,2024-12-13,1.54,0.0,-0.7833,-0.2692,0.5141,0.072612,0.08128,-0.008668
ADP,US,2025-03-14,1.54,0.0,-0.4646,0.0658,0.3989,0.040187,0.04888,-0.008692
ADP,US,2025-06-13,1.54,0.0,-0.8652,-0.3699,0.4953,0.047975,0.056916,-0.008942
ADP,US,2025-09-12,1.54,0.0,-1.0301,-0.516,0.5141,0.012531,0.02119,-0.008659
ADP,US,2025-12-12,1.7,0.0,-0.2418,0.403,-0.1612,-0.028429,-0.019503,0.008926
ADP,US,2026-03-13,1.7,0.0,-0.8147,0.0049,0.8098,-0.115011,-0.106216,0.008794
ADP,US,2026-06-12,1.7,0.0,-0.7043,0.0491,0.6552,-0.056099,-0.044853,0.011246
ITW,US,2023-09-28,1.4,0.0,-1.2091,-0.6104,0.5987,,,
ITW,US,2023-12-28,1.4,0.0,-0.6296,-0.0991,0.5305,,,
ITW,US,2024-03-27,1.4,0.0,0.1092,0.6399,-0.5307,,,
ITW,US,2024-06-28,1.4,0.0,-0.2738,0.3178,-0.044,-0.020786,-0.014413,0.006373
ITW,US,2024-09-30,1.5,0.0,-0.6895,-0.1219,0.5675,0.03063,0.0388,-0.00817
ITW,US,2024-12-31,1.5,0.0,-0.4081,0.1816,0.2265,0.002905,0.011394,-0.008489
ITW,US,2025-03-31,1.5,0.0,-0.9819,-0.3756,0.6063,-0.010642,-0.001552,0.00909
ITW,US,2025-06-30,1.5,0.0,-0.7498,-0.146,0.6038,-0.006194,0.003623,0.002571
ITW,US,2025-09-30,1.61,0.0,-0.8838,-0.2695,0.6143,0.015016,0.025559,-0.010543
ITW,US,2025-12-31,1.61,0.0,-0.9608,-0.321,0.6398,-0.011523,-0.001076,0.010448
ITW,US,2026-03-31,1.61,0.0,0.5816,1.2177,-0.6361,0.005582,0.016583,-0.011001
ITW,US,2026-06-30,1.61,0.0,-0.6318,-0.0301,0.6018,0.02446,0.035987,-0.011527
ANET,US,2024-12-04,0.0,4.0,2.3114,2.3114,0.0,0.206416,0.206416,0.0
REGN,US,2025-02-20,0.88,0.0,0.3486,0.4775,-0.129,-0.107523,-0.107019,0.000504
REGN,US,2025-05-20,0.88,0.0,-0.2565,-0.1091,0.1474,-0.123133,-0.12219,0.000943
REGN,US,2025-08-18,0.88,0.0,0.2895,0.4417,-0.1523,-0.11468,-0.113316,0.001364
REGN,US,2025-11-20,0.88,0.0,3.1661,3.2955,-0.1293,0.02324,0.025296,-0.002056
REGN,US,2026-02-20,0.94,0.0,-0.9433,-0.8241,0.1192,0.041746,0.043932,-0.002187
