ticker,market,kind,profile,signal_date,price,target,return_pct_needed,predicted_confidence,predicted_days,hit,days_to_hit,stop_first,actionable,realized_return_pct,price_bucket,liquidity_bucket,volatility_bucket,average_turnover,atr_pct,next_open_gap_pct,trend_score,downside_risk_score,breakout_probability_pct,volatility_expanding,strategy_eligible
005930.KS,KRX,risk,balanced,2025-10-22,97812.4609375,106600.0,8.98,48.0,23.3,True,7.0,False,True,10.61,20k_100k,liquid,normal,2149672294132.57,3.253,-1.826,4.0,8.0,92.0,True,True
005930.KS,KRX,risk,aggressive,2025-10-22,97812.4609375,114800.0,17.37,43.8,54.5,True,46.0,False,True,19.15,20k_100k,liquid,normal,2149672294132.57,3.253,-1.826,4.0,8.0,92.0,True,True
005930.KS,KRX,pullback,pullback_main,2025-10-22,97812.4609375,99102.0,1.32,58.8,,True,3.0,False,True,2.8,20k_100k,liquid,normal,2149672294132.57,3.253,-1.826,,,,,True
005930.KS,KRX,pullback,pullback_ext,2025-10-22,97812.4609375,120736.0,23.44,42.3,,True,48.0,False,True,25.33,20k_100k,liquid,normal,2149672294132.57,3.253,-1.826,,,,,True
005930.KS,KRX,risk,conservative,2025-11-12,102276.515625,106250.0,3.89,73.0,5.5,True,17.0,False,True,4.09,100k_500k,liquid,high,2648113441511.52,4.268,-0.582,3.0,27.0,44.8,True,True
005930.KS,KRX,risk,balanced,2025-11-12,102276.515625,112050.0,9.56,46.4,19.6,False,,True,True,-3.38,100k_500k,liquid,high,2648113441511.52,4.268,-0.582,3.0,27.0,44.8,True,True
005930.KS,KRX,risk,aggressive,2025-11-12,102276.515625,121200.0,18.5,37.7,40.4,False,,True,True,-4.71,100k_500k,liquid,high,2648113441511.52,4.268,-0.582,3.0,27.0,44.8,True,True
005930.KS,KRX,pullback,pullback_main,2025-11-12,102276.515625,111502.0,9.02,61.3,,True,29.0,False,True,9.26,100k_500k,liquid,high,2648113441511.52,4.268,-0.582,,,,,True
005930.KS,KRX,pullback,pullback_ext,2025-11-12,102276.515625,153268.0,49.86,39.9,,True,48.0,False,True,50.33,100k_500k,liquid,high,2648113441511.52,4.268,-0.582,,,,,True
005930.KS,KRX,risk,conservative,2025-12-03,103665.3359375,107400.0,3.6,75.1,7.3,True,2.0,False,True,3.8,100k_500k,liquid,normal,2019325862571.64,3.746,-0.574,4.0,0.0,18.8,False,True
005930.KS,KRX,risk,balanced,2025-12-03,103665.3359375,115850.0,11.75,48.6,28.3,True,16.0,False,True,12.0,100k_500k,liquid,normal,2019325862571.64,3.746,-0.574,4.0,0.0,18.8,False,True
005930.KS,KRX,risk,aggressive,2025-12-03,103665.3359375,127100.0,22.61,41.1,68.2,True,19.0,False,True,22.91,100k_500k,liquid,normal,2019325862571.64,3.746,-0.574,4.0,0.0,18.8,False,True
005930.KS,KRX,pullback,pullback_main,2025-12-03,103665.3359375,111502.0,7.56,64.2,,True,14.0,False,True,7.78,100k_500k,liquid,normal,2019325862571.64,3.746,-0.574,,,,,True
005930.KS,KRX,pullback,pullback_ext,2025-12-03,103665.3359375,149071.0,43.8,43.9,,True,30.0,False,True,44.23,100k_500k,liquid,normal,2019325862571.64,3.746,-0.574,,,,,True
005930.KS,KRX,risk,conservative,2025-12-24,110212.6171875,113100.0,2.62,76.9,6.0,True,1.0,False,True,1.03,100k_500k,liquid,normal,1839348284603.22,2.7,1.17,4.0,0.0,66.3,False,True
005930.KS,KRX,risk,balanced,2025-12-24,110212.6171875,119550.0,8.47,50.5,23.6,True,3.0,False,True,6.82,100k_500k,liquid,normal,1839348284603.22,2.7,1.17,4.0,0.0,66.3,False,True
005930.KS,KRX,risk,aggressive,2025-12-24,110212.6171875,128150.0,16.28,44.6,56.5,True,5.0,False,True,14.53,100k_500k,liquid,normal,1839348284603.22,2.7,1.17,4.0,0.0,66.3,False,True
005930.KS,KRX,pullback,pullback_main,2025-12-24,110212.6171875,111601.0,1.26,64.1,,True,1.0,False,True,-0.31,100k_500k,liquid,normal,1839348284603.22,2.7,1.17,,,,,True
005930.KS,KRX,pullback,pullback_ext,2025-12-24,110212.6171875,141824.0,28.68,44.0,,True,7.0,False,True,26.79,100k_500k,liquid,normal,1839348284603.22,2.7,1.17,,,,,True
005930.KS,KRX,risk,conservative,2026-01-19,148827.484375,156050.0,4.85,73.7,8.2,True,3.0,False,True,5.02,100k_500k,liquid,normal,3650509656943.05,3.673,-0.536,4.0,8.0,92.0,True,True
005930.KS,KRX,risk,balanced,2026-01-19,148827.484375,163950.0,10.16,47.8,25.3,True,8.0,False,True,10.35,100k_500k,liquid,normal,3650509656943.05,3.673,-0.536,4.0,8.0,92.0,True,True
005930.KS,KRX,risk,aggressive,2026-01-19,148827.484375,178050.0,19.64,44.4,49.7,True,18.0,False,True,19.88,100k_500k,liquid,normal,3650509656943.05,3.673,-0.536,4.0,8.0,92.0,True,True
005930.KS,KRX,pullback,pullback_main,2026-01-19,148827.484375,151625.0,1.88,59.1,,True,3.0,False,True,2.03,100k_500k,liquid,normal,3650509656943.05,3.673,-0.536,,,,,True
005930.KS,KRX,pullback,pullback_ext,2026-01-19,148827.484375,184965.0,24.28,42.5,,True,20.0,False,True,24.55,100k_500k,liquid,normal,3650509656943.05,3.673,-0.536,,,,,True
005930.KS,KRX,risk,conservative,2026-02-09,165873.359375,171750.0,3.54,73.4,4.2,True,3.0,False,True,2.52,100k_500k,liquid,high,4595857519372.31,5.117,0.601,3.0,27.0,72.3,True,True
005930.KS,KRX,risk,balanced,2026-02-09,165873.359375,184950.0,11.5,47.5,17.1,True,5.0,False,True,10.43,100k_500k,liquid,high,4595857519372.31,5.117,0.601,3.0,27.0,72.3,True,True
005930.KS,KRX,risk,aggressive,2026-02-09,165873.359375,202750.0,22.23,39.3,40.3,True,9.0,False,True,21.1,100k_500k,liquid,high,4595857519372.31,5.117,0.601,3.0,27.0,72.3,True,True
005930.KS,KRX,pullback,pullback_main,2026-02-09,165873.359375,168864.0,1.8,54.9,,True,3.0,False,True,0.79,100k_500k,liquid,high,4595857519372.31,5.117,0.601,,,,,True
005930.KS,KRX,pullback,pullback_ext,2026-02-09,165873.359375,215287.0,29.79,36.2,,True,10.0,False,True,28.61,100k_500k,liquid,high,4595857519372.31,5.117,0.601,,,,,True
005930.KS,KRX,risk,conservative,2026-03-06,187604.375,203500.0,8.47,74.3,8.0,True,8.0,False,True,17.26,100k_500k,liquid,high,6659015793332.21,6.418,-7.811,3.0,26.0,40.2,False,True
005930.KS,KRX,risk,balanced,2026-03-06,187604.375,218250.0,16.34,46.7,24.4,False,,False,False,,100k_500k,liquid,high,6659015793332.21,6.418,-7.811,3.0,26.0,40.2,False,True
005930.KS,KRX,risk,aggressive,2026-03-06,187604.375,246750.0,31.53,37.8,45.4,False,,True,True,-1.33,100k_500k,liquid,high,6659015793332.21,6.418,-7.811,3.0,26.0,40.2,False,True
005930.KS,KRX,pullback,pullback_main,2026-03-06,187604.375,222294.0,18.49,59.1,,True,34.0,False,True,28.13,100k_500k,liquid,high,6659015793332.21,6.418,-7.811,,,,,True
005930.KS,KRX,pullback,pullback_ext,2026-03-06,187604.375,296710.0,58.16,39.3,,True,47.0,False,True,71.16,100k_500k,liquid,high,6659015793332.21,6.418,-7.811,,,,,True
